number,path,date,time,white,black,white elo,black elo,time control,event,moves
0,8YQpSPlG,2015.11.01,00:29:36,SewFast,Harry-Haller,1959,1598,60+0,Rated Bullet game,1. d4 { [%eval 0.2] } 1... e6 { [%eval 0.22] } 2. Nf3 { [%eval 0.22] } 2... Nf6 { [%eval 0.12] } 3. c3 { [%eval -0.01] } 3... Nc6 { [%eval 0.28] } 4. c4 { [%eval 0.12] } 4... d6 { [%eval 0.37] } 5. Nc3 { [%eval 0.25] } 5... Bd7?! { [%eval 0.79] } 6. Qb3?! { [%eval -0.11] } 6... Be7 { [%eval 0.12] } 7. d5?! { [%eval -0.7] } 7... O-O? { [%eval 2.13] } 8. dxc6 { [%eval 2.14] } 8... Bxc6 { [%eval 2.15] } 9. Bg5 { [%eval 1.94] } 9... Rb8 { [%eval 2.16] } 10. e3 { [%eval 2.01] } 10... a5 { [%eval 2.48] } 11. Qc2 { [%eval 2.48] } 11... b6 { [%eval 2.46] } 12. Bd3 { [%eval 2.44] } 12... Bxf3 { [%eval 2.6] } 13. gxf3 { [%eval 2.6] } 13... e5? { [%eval 3.96] } 14. Bxf6 { [%eval 3.9] } 14... Bxf6 { [%eval 3.95] } 15. Bxh7+ { [%eval 3.92] } 15... Kh8 { [%eval 3.96] } 16. Be4 { [%eval 3.89] } 16... Bh4 { [%eval 3.98] } 17. O-O-O { [%eval 3.7] } 17... Qf6?! { [%eval 4.46] } 18. Nd5 { [%eval 4.05] } 18... Qd8 { [%eval 4.2] } 19. Rdg1?! { [%eval 3.68] } 19... g6 { [%eval 4.02] } 20. Rg4 { [%eval 4.57] } 20... Be7?? { [%eval 9.34] } 21. h4?? { [%eval 5.96] } 21... Kg8?? { [%eval 19.75] } 22. h5? { [%eval 7.67] } 22... b5? { [%eval 16.36] } 23. hxg6 { [%eval 17.03] } 23... fxg6?! { [%eval #5] } 24. Rxg6+?! { [%eval #10] } 24... Kf7 { [%eval #8] } 25. Rh7+ { [%eval #8] } 25... Ke8 { [%eval #7] } 26. Rgg7 { [%eval #8] } 26... Rf7 { [%eval #6] } 27. Bg6 { [%eval #7] } 27... b4 { [%eval #4] } 28. Bxf7+?! { [%eval #6] } 28... Kd7 { [%eval #6] } 29. Qf5+?! { [%eval 28.1] } 29... Kc6 { [%eval #11] } 30. Nxe7+ { [%eval 26.18] } 30... Kb6?! { [%eval #9] } 31. Nd5+ { [%eval #7] } 31... Kc5 { [%eval #10] } 32. Qe4?! { [%eval 57.76] } 32... Qf6?! { [%eval #5] } 33. Be6?! { [%eval #6] } 33... c6 { [%eval #5] } 34. Rc7 { [%eval #4] } 34... Rb7 { [%eval #4] } 35. Rxc6+ { [%eval #3] } 35... Kxc6 { [%eval #3] } 36. Nxb4+ { [%eval #2] } 36... Kc5 { [%eval #2] } 37. Qd5+?! { [%eval #2] } 37... Kxb4 { [%eval #2] } 38. a3+?! { [%eval #3] } 38... Kb3 { [%eval #3] } 39. Qd1+?! { [%eval #6] } 39... Ka2 { [%eval #6] } 40. c5+?! { [%eval 11.48] } 40... Ka1?! { [%eval #1] } 41. Kc2# 1-0
0,azfBRLx9,2015.11.01,15:53:48,aritayBahadir,OHBANANA1972,1675,1938,180+0,Rated Blitz game,1. g3 e6 2. a4 c6 3. c3 d5 4. b4 f5 5. e3 Nf6 6. d3 Bd6 7. Bg2 O-O 8. Ne2 a6 9. Ba3 Nbd7 10. Nd2 b5 11. a5 Qc7 12. O-O e5 13. Rc1 f4 14. exf4 exf4 15. Nd4 fxg3 16. Ne6 gxh2+ 17. Kh1 Qb8 18. Nxf8 Nxf8 19. Bb2 Bg4 20. Qe1 Qc7 21. Nf3 Bxf3 22. Bxf3 Re8 23. Qd2 Bf4 24. Qd1 Bxc1 25. Bxc1 Ng6 26. Bg2 Nf4 27. Qf3 Nxg2 28. Qxg2 Rf8 29. Bg5 Nh5 30. Be3 g6 31. Qxh2 Qxh2+ 32. Kxh2 Nf4 33. Bxf4 Rxf4 34. Kg3 Rf5 35. Re1 Kf7 36. d4 h5 37. Re3 g5 38. Rf3 Rxf3+ 39. Kxf3 Kf6 40. Kg3 Kf5 41. f3 h4+ 42. Kf2 Kf4 43. Kg2 Ke3 44. Kh3 Kxf3 45. Kh2 g4 46. Kg1 g3 47. Kf1 h3 48. Kg1 Ke3 49. Kf1 Kd3 50. Kg1 Kxc3 51. Kf1 Kxd4 52. Ke2 Kc4 53. Kf3 Kxb4 54. Kxg3 Kxa5 55. Kxh3 c5 56. Kg4 d4 57. Kf5 Kb4 58. Kf6 a5 59. Ke7 a4 60. Kd8 c4 61. Kc7 d3 62. Kd6 c3 63. Kc6 d2 64. Kc7 c2 65. Kb6 a3 66. Ka6 a2 67. Kb6 Kc4 68. Kb7 b4 69. Kb6 b3 70. Ka5 b2 71. Kb6 Kd3 72. Kc6 Ke2 73. Kd6 Ke3 74. Ke6 a1=Q 75. Ke5 b1=Q+ 76. Kf5 c1=Q+ 77. Kg4 d1=Q+ 78. Kg5 Kf3+ 79. Kh5 Kf4+ 80. Kh6 Kg4# 0-1
0,MqZYubjs,2015.11.01,17:13:33,VisorSuper,RioDeiby,1761,1825,600+0,Rated Classical tournament https://lichess.org/tournament/QAWPWHKV,1. f4 Nf6 2. Nf3 d6 3. e3 Bg4 4. b3 e5 5. Be2 Ne4 6. O-O exf4 7. exf4 f5 8. Bb2 Nd7 9. Re1 Be7 10. Bxg7 Rg8 11. Bh6 Rg6 12. Bg5 h6 13. Bxe7 Qxe7 14. Nd4 O-O-O 15. Bxg4 Rxg4 16. Nxf5 Qf6 17. Qxg4 Qxa1 18. Ne7+ Kb8 19. Qh4 Nef6 20. Nc3 Qb2 21. Ncd5 Qd4+ 22. Kf1 a6 23. Nxf6 Nxf6 24. d3 Ka8 25. Nf5 Qc3 26. Qf2 Ng4 27. Qe2 Nxh2+ 28. Kg1 Qf6 29. Kxh2 Qxf5 30. g3 h5 31. Kg2 Rg8 32. Qe6 Qg4 33. Qxg4 Rxg4 34. Kf3 b6 35. Re8+ Kb7 36. Rh8 Rg7 37. Rxh5 c5 38. Rd5 Kc6 39. c4 b5 40. f5 Rf7 41. g4 b4 42. Kf4 Kd7 43. g5 Ke7 44. d4 cxd4 45. Rxd4 Kd7 46. Rd5 Kc6 47. f6 Kd7 48. Kf5 Rh7 49. Kg6 Rh8 50. Kg7 Rd8 51. g6 Ke6 52. f7 Ke7 53. Rd1 Rc8 54. Re1+ Kd7 55. f8=Q Rxf8 56. Kxf8 Kd8 57. Re7 d5 58. g7 dxc4 59. g8=Q cxb3 60. Kf7# 1-0
0,u3Aplmp7,2015.11.01,17:53:57,Kaissa_V,Norlanchess,1498,1673,300+0,Rated Blitz game,1. e4 c5 2. f4 Nc6 3. Nf3 d6 4. d4 cxd4 5. Nxd4 g6 6. c3 Bg7 7. Bb5 Bd7 8. Be3 a6 9. Nxc6 bxc6 10. Bd3 Nf6 11. O-O Ng4 12. Bd2 Qb6+ 13. Kh1 Nf2+ 14. Rxf2 Qxf2 15. Na3 a5 16. Nc4 O-O 17. Nb6 Qxb6 18. b3 Rfb8 19. Rb1 c5 20. c4 e6 21. Qe1 d5 22. exd5 exd5 23. cxd5 Qd6 24. Bc4 a4 25. Qg3 axb3 26. axb3 Bb5 27. Qd3 Bxc4 28. Qxc4 Rd8 29. Be3 Qxd5 30. Qxc5 Qxc5 31. Bxc5 Ra1 32. Rxa1 Bxa1 33. g3 Bc3 34. b4 Rb8 35. Kg2 Bxb4 36. Ba7 Rb7 37. Be3 f5 38. Kh3 Rd7 39. Bb6 Kf7 40. Bg1 h6 41. Kg2 h5 42. h4 Rd3 43. Kh3 Be1 44. Bh2 Ke6 45. Kg2 Kd5 46. Kh3 Ke4 47. Kg2 Rb3 48. Kh3 Kf3 49. Bg1 Bxg3 50. Bb6 Bxf4 51. Bd8 Kf2# 0-1
2,M4tZw6ka,2015.11.01,19:27:07,FraGer68,shreckm8,2459,1845,60+2,Rated Bullet game,1. c4 b6 2. e4 Bb7 3. Nc3 e6 4. Nge2 Bc5 5. d4 Bb4 6. a3 Bxc3+ 7. Nxc3 Nf6 8. f3 d5 9. cxd5 exd5 10. e5 Nfd7 11. f4 f6 12. e6 Nf8 13. f5 g6 14. Bd3 gxf5 15. Bxf5 Bc8 16. Qh5+ Ke7 17. Qf7+ Kd6 18. Bf4+ Kc6 19. e7 Be6 20. exd8=N# 1-0
5,n2LPB3kO,2015.11.02,00:05:41,nams_suck,gurimat,1669,1288,300+0,Rated Blitz game,1. c4 e5 2. Nc3 Nc6 3. g3 Nf6 4. Bg2 d6 5. Nf3 Be7 6. d4 exd4 7. Nxd4 Nxd4 8. Qxd4 O-O 9. O-O c6 10. c5 d5 11. b4 Qc7 12. Bg5 h6 13. Bxf6 Bxf6 14. Qd2 Re8 15. e3 Bg4 16. h3 Bf5 17. g4 Be4 18. Nxe4 dxe4 19. Rad1 Rad8 20. Qc2 Rxd1 21. Rxd1 Qe5 22. Rd7 Qa1+ 23. Kh2 Be5+ 24. f4 exf3# 0-1
0,QUR9Zvuf,2015.11.02,04:38:42,Zeitnot,juanvm,1741,1738,0+4,Rated Bullet game,1. d4 g6 2. c4 c6 3. Nc3 d6 4. e4 Nd7 5. f3 Bg7 6. Be3 Qc7 7. Nge2 a6 8. Qd2 e5 9. Rc1 b6 10. g3 Bb7 11. Bg2 h6 12. O-O Ngf6 13. Rfd1 Rd8 14. b3 Nh5 15. Rf1 Nhf6 16. Rce1 c5 17. d5 Nf8 18. f4 exf4 19. gxf4 Ng4 20. Kh1 Nxe3 21. Qxe3 Nd7 22. Bh3 O-O 23. Rg1 Nf6 24. Rg3 Rde8 25. Reg1 Bxd5 26. Nxd5 Nxd5 27. cxd5 Qe7 28. Bg2 f5 29. e5 dxe5 30. fxe5 Qxe5 31. Qxe5 Rxe5 32. Nf4 g5 33. Ne6 Re8 34. Nxg7 Kxg7 35. h4 Kf6 36. hxg5+ hxg5 37. d6 Rh8+ 38. Rh3 Rxh3+ 39. Bxh3 Rd5 40. Rf1 f4 41. d7 b5 42. Rf2 Rd3 43. Bg4 Ke7 44. Re2+ Re3 45. Rd2 Kd8 46. Bf5 f3 47. Kg1 Re2 48. Rxe2 fxe2 49. Kf2 c4 50. Kxe2 c3 51. b4 Ke7 52. Kd3 a5 53. a3 g4 54. Bxg4 a4 55. Kxc3 Kd8 56. Kd4 Kc7 57. Kc5 Kd8 58. Kxb5 Kc7 59. Kxa4 Kb7 60. d8=Q Kc6 61. Qd1 Kb7 62. Kb5 Kc7 63. a4 Kb7 64. a5 Ka7 65. Qd7+ Kb8 66. Ka6 Ka8 67. b5 Kb8 68. Be2 Ka8 69. Qf7 Kb8 70. Qa7+ Kc8 71. b6 Kd8 72. Qc7+ Ke8 73. Kb5 Kf8 74. b7 Kg8 75. a6 Kh8 76. a7 Kg8 77. Kb6 Kh8 78. Qd7 Kg8 79. Kc7 Kh8 80. Kc8 Kg8 81. b8=Q Kh8 82. a8=Q Kg8 83. Bc4+ Kh8 84. Kb7# 1-0
5,70NuGUHg,2015.11.02,06:10:49,rollick,Zhgilmev,1377,1262,120+1,Rated Bullet game,1. d4 e6 2. c4 d5 3. Nc3 dxc4 4. Nf3 a6 5. a4 Nc6 6. e3 Bd7 7. Bxc4 h6 8. O-O Nge7 9. Bd2 Nf5 10. Bd3 Nd6 11. Qc2 Nb4 12. Qb1 Nxd3 13. Qxd3 g5 14. Rab1 Bg7 15. b4 g4 16. Ne5 Bxe5 17. dxe5 Nf5 18. Ne4 Kf8 19. b5 Qh4 20. Nf6 Rd8 21. Qe4 Ng7 22. Bb4+ c5 23. bxc6# 1-0
0,msjS2LEu,2015.11.02,06:13:11,gregreg,LeonChame,1163,1188,300+8,Rated Classical game,1. e4 d5 2. Nc3 d4 3. Nce2 Bg4 4. f3 Be6 5. Nf4 Bd7 6. Bd3 c5 7. Nge2 b5 8. Nd5 c4 9. Bxc4 bxc4 10. Nxd4 Qa5 11. c3 e5 12. Nf5 g6 13. Nh4 Bc6 14. b4 Qd8 15. d4 Na6 16. dxe5 Qd7 17. Qd4 Nxb4 18. e6 fxe6 19. Qxh8 Nc2+ 20. Kf2 Bc5+ 21. Kg3 Qd6+ 22. Nf4 Nxa1 23. Qxg8+ Qf8 24. Qxe6+ Be7 25. Qxc6+ Kf7 26. Qd5+ Ke8 27. Qxa8+ Kf7 28. Qd5+ Ke8 29. Rd1 g5 30. Qd7+ Kf7 31. Ne6 gxh4+ 32. Kf2 Qe8 33. Ng5+ Kf8 34. Ne6+ Kf7 35. Ba3 Qxd7 36. Rxd7 Kxe6 37. Bxe7 Kxd7 38. Bxh4 a6 39. f4 Nc2 40. f5 Nd4 41. f6 Ke8 42. e5 Nf5 43. Bg5 h6 44. Bxh6 Nxh6 45. g4 Nxg4+ 46. Kf3 Nxe5+ 47. Kf4 Nd7 48. Kf5 Nc5 49. Kg6 Na4 50. Kg7 Nxc3 51. f7+ Ke7 52. f8=Q+ Ke6 53. h4 Nxa2 54. h5 c3 55. Qc8+ Ke7 56. Qxa6 Nb4 57. Qa5 Nc6 58. Qxc3 Nd8 59. h6 Nf7 60. h7 Ke8 61. Qf6 Nh8 62. Kg8 Nf7 63. Qxf7+ Kd8 64. h8=Q Kc8 65. Kg7# 1-0
0,ZNhL841t,2015.11.02,10:09:35,reasonableaspirin,ibrahim3636,1270,1310,600+5,Rated Classical game,1. e4 e5 2. f4 exf4 3. Nf3 Nc6 4. d4 Nf6 5. d5 Na5 6. Bd2 g5 7. Bxa5 b6 8. Bc3 d6 9. h3 g4 10. Ng5 gxh3 11. Bb5+ c6 12. Bxc6+ Bd7 13. Bxa8 Qxa8 14. gxh3 Bh6 15. Bxf6 Rg8 16. Nxh7 f3 17. Qxf3 Qc8 18. Nc3 b5 19. Qh5 Rg6 20. Bg7 b4 21. Bxh6 Rg2 22. Nf6+ Kd8 23. Qxf7 b3 24. Kf1 Rxc2 25. Bg5 Rxb2 26. Nxd7+ Kc7 27. Nb5+ Kb7 28. Nc5+ Kb8 29. Na6+ Qxa6 30. Qc7+ Ka8 31. Qd8+ Kb7 32. Qd7+ Kb6 33. Be3+ Ka5 34. axb3+ Kb4 35. Rxa6 Rxb3 36. Nxd6 Rxe3 37. Qxa7 Kc3 38. Qxe3+ Kc2 39. Ra2+ Kb1 40. Qb3+ Kc1 41. Qb1+ Kxb1 42. Rah2 Kc1 43. Re2 Kd1 44. Kf2# 1-0
